Student ID,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 19,Group 20,Group 21,Group 22,Group 23,Group 24,Group 25,Group 26,Group 27,Group 28,Group 29,Group 30,Group 31,Group 32,Group 33,Group 34,Group 35,Group 36,Group 37,Group 38,Group 39,Group 40,Group 41,Group 42,Group 43,Group 44,Group 45,Group 46,Group 47,Group 48,Group 49,Group 50,Group 51,Group 52,Group 53,Group 54,Group 55,Group 56,Group 57,Group 58,Group 59
1984 Sep,68.1,53.9,34.6,50.3,27.1,3.2,3,159.4,2.3,2.3,4.5,10.9,20,7.4,5,3.8,7,10.5,18.3,21.2,17,22.4,59.6,8.9,93.9,89.2,68,61.7,39.9,17.3,90.8,24.8,22.7,7.8,26.8,102.3,39.9,142.2,157.2,117.6,118.1,90.4,36.1,50.5,33.9,39,26.9,10.2,35.7,13.4,66.4,25.5,4.9,2.2,1.6,12.6,4.3,3.3,1.1
1984 Oct,73.5,64.2,35.7,55.6,29.5,4,2.7,178.9,2.6,2.2,5.3,12.4,24.6,8.6,5.3,4.2,8.2,11.4,22.8,21.6,19.1,26.2,62.5,8.6,103.3,96.7,76.7,74.2,43.1,18.9,104.6,26.7,24.6,8.7,30.9,119.2,45,164.2,173.4,135.6,132.6,95.7,32.9,52.5,35.7,43.3,34.1,11.1,39.1,13.6,78.6,27.9,5.3,2.4,1.9,14.6,5.1,4.6,1.2
1984 Nov,75.2,68.4,37.8,60.7,28.6,4,3.2,188.6,3,2.2,5.5,12.7,25.9,9.3,5.6,4.6,9.2,12.2,22.4,22.3,19.3,28.1,64.2,8.9,117.2,97.8,78.1,78.7,45.1,20.3,117.2,27.6,28.3,9.3,33.1,130.8,47,177.8,175.9,150.3,141.8,100.6,34.3,55.5,38.6,45.2,39.4,11.4,42.2,13.9,84.1,30.7,6.3,2.5,1.9,16,5.5,4.8,1.4
1984 Dec,81.9,79.9,41.5,73.8,33.6,5.9,4,223.8,3.1,2.3,4.8,15.6,32.7,10.2,6.8,5.2,12.5,17,23.5,40.4,23.4,29.6,70.9,8.9,170.4,104.6,88.9,85.5,53.9,25.1,159.7,29.5,34.7,11.4,42.7,169.2,62.5,231.6,193.5,202.5,240.1,112.4,37.3,58.6,47.8,51.2,47.1,16.2,58.6,15.5,111,42.5,8.3,3.3,2.2,19.9,6.4,5.6,1.6
1985 Jan,74.7,63.2,38.1,53.2,28.6,4,2.4,174.6,2.7,2,4,12.4,21.2,7.3,4.6,4.6,7.8,11.4,20.6,17,17.9,21.7,66.9,9.3,100.7,99.8,65.9,64.7,43.7,18.8,98.7,28.6,25.4,8.3,29.4,101.7,37.8,139.5,165.7,128.1,116.6,96.3,30.5,52.5,33.3,45.5,33.6,10.3,34.8,13.5,71.2,24.6,4.9,2.3,1.6,13.8,5.7,3.3,1.2
1985 Feb,68.7,66.4,37.5,60.3,24.5,4,2.4,179.7,2.6,1.9,3.9,11.4,19.8,7.7,4.3,4.4,7.5,10.8,18.5,15.8,18.1,21.2,59.4,9.2,92,87,62.5,62.3,43.3,18.6,93.7,26.3,24.5,8.4,27.2,92.9,34.2,127.1,149.5,120.8,106.1,93.9,26.5,50.6,28,40.8,32.2,9.2,31.5,13.5,66.5,22.2,4.5,2.1,1.5,13.1,5.4,3.3,1.1
1985 Mar,72.9,65,38.8,52.7,25.9,4,2.8,173.2,2.6,2,4.3,11.6,23.3,7.8,4.3,4.1,8.3,11.3,21.4,15.9,20,23.1,61.5,9.9,106.6,93.6,68.8,67.1,46.7,20.6,110.3,26.9,27.1,9.2,30.1,103.4,37.4,140.8,162.4,140.4,119.8,98,30.4,51.3,33.8,44.2,36.5,9.6,34.7,13.9,73.7,25,5.4,2.4,1.8,14.2,6.5,4.1,1.2
1985 Apr,73.1,62.8,40.3,47.3,24.1,4,2.3,162.4,3,2,4.5,11.3,24,7.4,6,3.8,8.1,12.3,21.1,14.1,18.4,23.8,61.5,9,103.6,94.3,73.2,66.3,42.5,18.8,113,27.2,24.3,8.6,31,119.4,41.3,160.7,167.4,144,135,98.4,33.6,55.9,35.4,41.1,30.6,10.4,39.2,13.5,65.9,28.8,5.6,2.2,1.6,14.1,6.1,4.9,1.5
1985 May,78.3,66,41.9,51.9,26.9,4.3,2.7,176.8,3.2,2,5.1,12.6,26.8,8.7,5.8,4.7,9.3,13.5,27.2,16.7,19.2,30.4,63.9,10.8,122.3,96.3,85.4,78.5,45.7,21.5,136.6,28.5,29,9.4,35.6,147.1,49.8,196.9,181.7,172.2,159.5,101.8,39.1,56,42.9,44.1,40.9,12.4,47.7,14.2,84.8,35.3,7.1,2.5,1.9,16.9,7.6,5.6,1.6
1985 Jun,73.2,57.5,38.4,43.9,24.8,3.8,2.4,155.4,3.2,1.9,4.6,10.8,23.3,7.6,5.9,3.9,8.7,12,22.2,14.1,17.3,26.9,57.5,10.5,107.8,92.2,75.7,68,41.1,18.8,116.1,25.9,26.4,8.5,29.6,117,40.9,157.9,167.9,145.7,129.7,90.8,34.6,49.7,38.3,40.1,34.7,10.2,38.8,13.3,71,28.5,5.9,2.3,1.6,14.5,6.4,4.9,1.4
1985 Jul,78.8,64.6,41.7,50.7,26.5,3.3,2.6,173.1,3.7,2.2,4.8,12.7,24.6,7.6,6.4,3.7,8.2,13.3,25,16.8,17.8,26.4,63.1,10.7,124.5,96.7,88.2,77.5,46.2,20.6,116.4,28.3,27,8.7,31.1,125.4,43.2,168.6,184.9,147.5,135,98.3,38.8,52.1,39.1,43.4,34.9,11.7,47.4,15,76.8,35.6,6.1,2.3,1.6,16.1,7.5,5.2,1.6
1985 Aug,80.7,67.5,44.3,52,26.8,3.3,2.6,178.4,3.7,2.2,5,13.2,23.6,7.4,7,3.9,7,13.4,26.5,17.9,19.1,25,67.4,10.9,116.8,100.2,85.4,79.3,50.6,22.4,115.8,30.7,27.2,9.1,30.9,119.7,42.7,162.3,185.6,146.7,138.7,107,38.4,56.4,41.5,45.4,37.5,11.3,44,15.4,81.9,32.6,6.1,2.4,1.6,15.7,6.4,4.5,1.6
1985 Sep,77.5,62.4,42.7,52.1,25.6,3.4,2.7,169.8,3.5,2.2,5.1,11.6,23,7.7,6.7,3.9,7.1,13.8,24.1,18.2,18.1,24.9,64,9.9,109.8,100.2,82.6,78.1,47.2,20.9,109.8,28.8,25.2,8.6,29.6,115.4,42.7,158.1,182.8,139.4,127.5,103.2,36,56,41.1,45,32.7,11.6,42.4,14.9,75,30.8,5.8,2.3,1.5,15.8,6.4,4.4,1.6
1985 Oct,86,66.2,46.8,50.6,25.6,3.3,2.7,173.6,3.5,2.1,4.9,11.6,24.8,7.4,6.7,4.1,7.4,15.2,29.3,18.5,20.7,26,70.1,11.6,117.3,106.6,93.5,98,52.1,22.9,127.9,32.3,28,9.8,34.7,142.3,52.5,194.9,200.1,162.6,145,111.8,42.8,59.6,45,51,33.8,12.2,43.7,15.6,81.7,31.5,6.8,2.6,1.8,15.9,6.7,4.6,1.5
1985 Nov,87.4,70,47.6,54,26.8,3.5,2.8,183.5,3.5,2.1,5.4,12.6,27.4,8.1,6.8,4.3,8.5,15.9,28.2,19.5,20.5,26.1,71.8,11.9,135.1,112.9,95,100.8,52.9,23.5,133.2,33.5,31.7,10.1,35.7,155.7,57.6,213.3,208,168.9,158.8,112.3,44,59.4,45.9,52.1,35.7,12.7,46.7,16,83.5,34,7.4,2.8,1.9,17.7,6.6,4.6,1.6
